link_id,link_name,category
4616357,BELT Pkwy W JFK Expwy - VWE N Jamaica Ave,Belt Pkwy / Cross-Island Pkwy
4616247,BE N Castle Hill Ave - Griswold Ave,Bruckner Expwy
4616246,BE N Stratford Avenue-Castle Hill Avenue,Bruckner Expwy
4616260,BE S Castle Hill Avenue-Stratford Avenue,Bruckner Expwy
4616261,BE S Griswold Ave - Castle Hill Ave,Bruckner Expwy
4456478,BE S RFK Exit Ramp - Queens Anchorage,Bruckner Expwy
4456479,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN,Bruckner Expwy
4616342,BKN Bridge Manhattan Side - FDR N Catherine Slip,FDR Dr
4616339,BQE N Atlantic Ave - BKN Bridge Manhattan Side,Brooklyn-Queens Expwy / Gowanus Expwy
4616340,BQE N Atlantic Ave - MAN Bridge Manhattan Side,Brooklyn-Queens Expwy / Gowanus Expwy
4616257,BQE N ATLANTIC AVENUE - LEONARD STREET,Brooklyn-Queens Expwy / Gowanus Expwy
4616235,BQE N Leonard St - 46th St,Brooklyn-Queens Expwy / Gowanus Expwy
4616232,BQE S 46th St - Leonard St,Brooklyn-Queens Expwy / Gowanus Expwy
4616229,BQE S Atlantic Ave - GOW S 9th St,Brooklyn-Queens Expwy / Gowanus Expwy
4616271,BQE S LEONARD STREET - ATLANTIC AVENUE,Brooklyn-Queens Expwy / Gowanus Expwy
51052,Broadway - Southbound - 72nd St to 57th St,Broadway
4616252,BRP N Watson Avenue-Fordham Road,Bronx River Pkwy
4616266,BRP S Fordham Road-Watson Avenue,Bronx River Pkwy
4456497,BWB N Queens Anchorage - Toll Plaza,Whitestone Br / Expwy
4616305,BWB N Toll Plaza - HRP N Lafayette Ave,Whitestone Br / Expwy
4616312,BWB S Queens Anchorage - WE S Exit 14 (Linden Pl),Whitestone Br / Expwy
4456496,BWB S Toll Plaza - Queens Anchorage,Whitestone Br / Expwy
4616310,CBE E Amsterdam Ave (lower level) - Morris Ave,Cross-Bronx Expwy / GWB
4616309,CBE E Amsterdam Ave (upper level) - Morris Ave,Cross-Bronx Expwy / GWB
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Cross-Bronx Expwy / GWB
4616253,CBE E Taylor Avenue-Castle Hill Avenue,Cross-Bronx Expwy / GWB
4620315,CBE W Amsterdam Ave (lower level) - I-95 S Loc Lns,Cross-Bronx Expwy / GWB
4620310,CBE W Amsterdam Ave (upper level) - I-95 S Exp Lns,Cross-Bronx Expwy / GWB
4616267,CBE W Castle Hill Avenue-Taylor Avenue,Cross-Bronx Expwy / GWB
4620332,CBE W Morris Ave-GWB W Amsterdam Ave (lower level),Cross-Bronx Expwy / GWB
4620331,CBE W Morris Ave-GWB W Amsterdam Ave (upper level),Cross-Bronx Expwy / GWB
4362247,CIP NB GCP - TNB,Belt Pkwy / Cross-Island Pkwy
4616351,CIP N Hempstead Tpk - LIE,Belt Pkwy / Cross-Island Pkwy
4362252,CIP N LIE ramp - TNB,Belt Pkwy / Cross-Island Pkwy
4456483,CIP N TNB ramp - TNB N Queens Anchorage,Belt Pkwy / Cross-Island Pkwy
4616320,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl),Belt Pkwy / Cross-Island Pkwy
4616352,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP,Belt Pkwy / Cross-Island Pkwy
4616350,CIP S LIE - Hempstead Tpk,Belt Pkwy / Cross-Island Pkwy
175184,College Pnt Blvd - Northbound - Horace Harding Expwy to Booth Memorial Ave,Flushing
177178,College Pnt Blvd - Northbound - Roosevelt Ave to 35th Ave,Flushing
176177,College Pnt Blvd - Northbound - Sanford Ave to Roosevelt Ave,Flushing
178177,College Pnt Blvd - Southbound - 35th Ave to Roosevelt Ave,Flushing
184175,College Pnt Blvd - Southbound - Booth Memorial Ave to Horace Harding Expwy,Flushing
177176,College Pnt Blvd - Southbound - Roosevelt Ave to Sanford Ave,Flushing
184176,College Point Blvd - Northbound - Booth Memorial Ave to Sanford Ave,Flushing
176184,College Point Blvd - Southbound - Sanford Ave to Booth Memorial Ave,Flushing
88087,Cross Bay Blvd - Northbound - 156th Ave to Rockaway Blvd,Cross-Bay Blvd
90089,Cross Bay Blvd - Northbound - Jamaica Wildlife Preserve to North Channel Br,Cross-Bay Blvd
89088,Cross Bay Blvd -  Northbound - North Channel Br to 156th Ave,Cross-Bay Blvd
92091,Cross Bay Blvd - Northbound - W 20th Rd to W 6th Rd,Cross-Bay Blvd
91090,Cross Bay Blvd - Northbound - W 6th Rd to Jamaica Wildlife Reserve,Cross-Bay Blvd
88089,Cross Bay Blvd - Southbound - 156th Ave to North Channel Br,Cross-Bay Blvd
92144,Cross Bay Blvd - Southbound - 20 Rd to Beach Channel Dr @ Beach 116 St,Cross-Bay Blvd
90091,Cross Bay Blvd - Southbound - Jamaica Wildlife Preserve to W 6 Rd,Cross-Bay Blvd
89090,Cross Bay Blvd - Southbound - North Channel Br to Jamaica Wildlife Preserve,Cross-Bay Blvd
87088,Cross Bay Blvd - Southbound - Rockaway Blvd to 156th Ave,Cross-Bay Blvd
91092,Cross Bay Blvd - Southbound - W 6th Rd to W 20th Rd,Cross-Bay Blvd
4362250,CVE N GCP ramp - TNB,Clearview Expwy / Throggs Neck Br
4362244,CVE N LIE ramp - TNB,Clearview Expwy / Throggs Neck Br
