"link_name","data_as_of","status","speed","travel_time"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T02:19:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T02:19:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T02:19:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T02:14:04.000","0","21.74","442"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T02:14:04.000","0","39.76","181"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T02:14:04.000","0","38.52","395"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T02:14:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T02:14:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T02:14:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T02:09:04.000","0","39.76","242"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T02:09:04.000","0","39.76","181"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T02:09:04.000","0","40.38","382"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T02:09:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T02:09:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T02:09:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T02:04:03.000","0","41.63","231"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T02:04:03.000","0","37.28","191"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T02:04:03.000","0","42.25","364"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T02:04:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T02:04:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T02:04:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T01:59:04.000","0","12.42","751"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T01:59:04.000","0","34.79","204"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T01:59:04.000","0","39.76","385"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T01:59:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T01:59:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T01:59:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T01:54:04.000","0","13.04","724"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T01:54:04.000","0","34.79","206"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T01:54:04.000","0","31.06","489"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T01:54:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T01:54:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T01:54:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T01:49:04.000","0","10.56","881"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T01:49:04.000","0","39.14","182"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T01:49:04.000","0","29.82","509"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T01:49:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T01:49:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T01:49:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T01:44:04.000","0","9.32","1010"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T01:44:04.000","0","37.90","189"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T01:44:04.000","0","35.41","431"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T01:44:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T01:44:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T01:44:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T01:39:04.000","0","8.07","1195"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T01:39:04.000","0","32.31","223"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T01:39:04.000","0","34.17","451"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T01:39:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T01:39:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T01:39:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T01:34:03.000","0","7.45","1260"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T01:34:03.000","0","30.44","236"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T01:34:03.000","0","38.52","399"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T01:34:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T01:34:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T01:34:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T01:29:04.000","0","9.94","943"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T01:29:04.000","0","32.93","219"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T01:29:04.000","0","43.49","355"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T01:29:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T01:29:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T01:29:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T01:24:04.000","0","12.42","743"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T01:24:04.000","0","32.31","219"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T01:24:04.000","0","43.49","354"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T01:24:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T01:24:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T01:24:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T01:19:04.000","0","8.69","1059"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T01:19:04.000","0","33.55","212"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T01:19:04.000","0","41.01","374"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T01:19:04.000","-101","3.10","4576"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T01:19:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T01:19:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T01:14:04.000","0","10.56","897"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T01:14:04.000","0","36.66","197"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T01:14:04.000","0","34.79","438"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T01:14:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T01:14:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T01:14:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T01:09:04.000","0","28.58","335"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T01:09:04.000","0","36.66","197"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T01:09:04.000","0","42.25","362"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T01:09:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T01:09:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T01:09:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T01:04:04.000","0","19.88","484"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T01:04:04.000","0","35.41","203"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T01:04:04.000","0","44.73","344"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T01:04:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T01:04:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T01:04:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T00:59:03.000","0","14.29","659"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T00:59:03.000","0","34.79","205"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T00:59:03.000","0","36.66","420"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T00:59:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T00:59:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T00:59:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T00:54:04.000","0","14.91","638"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T00:54:04.000","0","34.79","207"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T00:54:04.000","0","34.17","449"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T00:54:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T00:54:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T00:54:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T00:49:04.000","0","28.58","332"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T00:49:04.000","0","36.03","199"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T00:49:04.000","0","32.31","473"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T00:49:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T00:49:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T00:49:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T00:44:04.000","0","13.67","708"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T00:44:04.000","0","37.28","193"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T00:44:04.000","0","30.44","507"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T00:44:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T00:44:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T00:44:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T00:39:04.000","0","16.15","584"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T00:39:04.000","0","36.03","200"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T00:39:04.000","0","30.44","501"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T00:39:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T00:39:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T00:39:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T00:34:04.000","0","9.94","953"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T00:34:04.000","0","34.17","209"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T00:34:04.000","0","29.20","519"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T00:34:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T00:34:04.000","-101","0.00","0"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T00:34:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T00:29:04.000","0","11.80","803"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T00:29:04.000","0","36.03","199"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T00:29:04.000","0","31.06","498"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T00:29:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T00:29:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T00:29:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T00:24:03.000","0","11.80","783"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T00:24:03.000","0","34.17","211"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T00:24:03.000","0","34.17","448"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T00:24:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T00:24:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T00:24:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T00:19:04.000","0","13.67","700"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T00:19:04.000","0","32.31","223"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T00:19:04.000","0","32.31","471"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T00:19:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T00:19:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T00:19:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T00:14:04.000","0","38.52","251"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T00:14:04.000","0","30.44","236"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T00:14:04.000","0","30.44","506"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T00:14:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T00:14:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T00:14:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T00:09:04.000","0","21.12","453"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T00:09:04.000","0","30.44","236"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T00:09:04.000","0","30.44","501"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T00:09:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T00:09:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T00:09:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T00:04:04.000","0","18.64","509"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T00:04:04.000","0","31.68","225"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T00:04:04.000","0","30.44","501"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T00:04:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T00:04:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T00:04:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T23:59:03.000","0","20.50","463"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T23:59:03.000","0","30.44","233"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T23:59:03.000","0","30.44","505"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T23:59:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T23:59:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T23:59:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T23:54:04.000","0","19.88","486"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T23:54:04.000","0","27.96","256"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T23:54:04.000","0","30.44","498"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T23:54:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T23:54:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T23:54:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T23:49:04.000","0","16.77","566"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T23:49:04.000","0","27.96","255"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T23:49:04.000","0","29.20","524"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T23:49:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T23:49:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T23:49:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T23:44:04.000","0","18.01","523"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T23:44:04.000","0","31.06","231"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T23:44:04.000","0","27.96","542"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T23:44:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T23:44:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T23:44:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T23:39:04.000","0","28.58","333"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T23:39:04.000","0","28.58","250"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T23:39:04.000","0","27.96","546"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T23:39:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T23:39:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T23:39:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T23:34:04.000","0","24.85","384"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T23:34:04.000","0","24.85","285"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T23:34:04.000","0","25.47","595"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T23:34:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T23:34:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T23:34:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T23:29:03.000","0","22.36","429"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T23:29:03.000","0","21.74","325"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T23:29:03.000","0","23.61","643"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T23:29:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T23:29:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T23:29:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T23:24:05.000","0","20.50","468"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T23:24:05.000","0","19.88","356"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T23:24:05.000","0","22.36","675"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T23:24:05.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T23:24:05.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T23:24:05.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T23:19:04.000","0","20.50","463"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T23:19:04.000","0","20.50","349"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T23:19:04.000","0","21.74","701"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T23:19:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T23:19:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T23:19:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T23:14:04.000","0","14.29","655"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T23:14:04.000","0","21.74","331"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T23:14:04.000","0","20.50","744"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T23:14:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T23:14:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T23:14:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T23:09:04.000","0","13.04","730"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T23:09:04.000","0","19.88","360"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T23:09:04.000","0","20.50","750"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T23:09:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T23:09:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T23:09:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T23:04:04.000","0","17.39","556"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T23:04:04.000","0","21.74","332"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T23:04:04.000","0","19.26","783"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T23:04:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T23:04:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T23:04:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T22:59:04.000","0","23.61","408"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T22:59:04.000","0","22.99","314"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T22:59:04.000","0","19.26","779"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T22:59:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T22:59:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T22:59:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T22:54:04.000","0","21.12","456"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T22:54:04.000","0","22.36","316"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T22:54:04.000","0","19.88","771"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T22:54:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T22:54:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T22:54:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T22:49:04.000","0","18.64","506"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T22:49:04.000","0","19.88","359"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T22:49:04.000","0","18.64","807"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T22:49:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T22:49:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T22:49:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T22:44:04.000","0","14.91","635"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T22:44:04.000","0","19.88","357"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T22:44:04.000","0","18.01","843"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T22:44:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-20T22:44:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-20T22:44:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-20T22:39:04.000","0","23.61","407"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-20T22:39:04.000","0","20.50","343"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-20T22:39:04.000","0","18.64","816"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-20T22:39:04.000","-101","0.00","0"
