"link_name","data_as_of","status","speed","travel_time"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:19:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:19:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:14:04.000","0","17.39","538"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:14:04.000","0","14.29","493"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:14:04.000","0","23.61","646"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:14:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:14:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:14:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:09:04.000","0","14.29","654"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:09:04.000","0","11.18","630"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:09:04.000","0","24.23","635"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:09:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:09:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:09:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T09:04:04.000","0","14.29","654"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T09:04:04.000","0","7.45","946"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T09:04:04.000","0","22.99","660"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T09:04:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T09:04:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T09:04:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T08:59:04.000","0","16.15","581"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T08:59:04.000","0","7.45","930"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T08:59:04.000","0","24.23","636"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T08:59:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T08:59:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T08:59:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T08:54:03.000","0","21.74","441"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T08:54:03.000","0","9.94","704"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T08:54:03.000","0","24.85","611"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T08:54:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T08:54:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T08:54:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T08:49:04.000","0","22.99","418"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T08:49:04.000","0","11.18","636"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T08:49:04.000","0","24.85","611"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T08:49:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T08:49:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T08:49:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T08:44:03.000","0","22.99","419"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T08:44:03.000","0","11.18","626"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T08:44:03.000","0","25.47","593"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T08:44:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T08:44:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T08:44:03.000","-101","0.00","0"
